Ano,Mes,Qtde
2011,11,36
2011,12,174
2012,1,140
2012,2,124
2012,3,196
2012,4,210
2012,5,214
2012,6,302
2012,7,282
2012,8,290
2012,9,302
2012,10,312
2012,11,294
2012,12,326
2013,1,192
2013,2,402
2013,3,394
2013,4,506
2013,5,478
2013,6,440
2013,7,440
2013,8,348
2013,9,358
2013,10,392
2013,11,578
2013,12,518
2014,1,536
2014,2,484
2014,3,428
2014,4,422
2014,5,310
2014,6,318
2014,7,354
2014,8,320
2014,9,322
2014,10,390
2014,11,344
2014,12,442
2015,1,366
2015,2,300
2015,3,326
2015,4,386
2015,5,426
2015,6,280
2015,7,454
2015,8,288
2015,9,314
2015,10,294
2015,11,314
2015,12,320
2016,1,222
2016,2,274
2016,3,300
2016,4,260
2016,5,280
2016,6,330
2016,7,236
2016,8,148
2016,9,264
2016,10,248
2016,11,234
2016,12,316
2017,1,260
2017,2,278
2017,3,346
2017,4,352
2017,5,356
2017,6,410
2017,7,356
2017,8,396
2017,9,364
2017,10,254
2017,11,366
2017,12,394
2018,1,436
2018,2,378
2018,3,378
2018,4,372
2018,5,352
2018,6,320
2018,7,354
2018,8,356
2018,9,372
2018,10,326
2018,11,350
2018,12,416
2019,1,406
2019,2,322
2019,3,398
2019,4,294
2019,5,314
2019,6,310
2019,7,340
2019,8,290
2019,9,344
2019,10,290
2019,11,292
2019,12,290
2020,1,302
2020,2,244
2020,3,324
2020,4,320
2020,5,328
2020,6,370
2020,7,370
2020,8,426
2020,9,464
2020,10,332
2020,11,326
2020,12,350
2021,1,324
2021,2,294
2021,3,316
2021,4,356
2021,5,318
2021,6,20
